Date,Open,High,Low,Close,Volume,AdjClose,Notes
11/30/16,95.75,95.900002,94.349998,95.559998,4586500,95.559998,none
11/29/16,94,94.57,93.629997,94.040001,3781300,94.040001,none
11/28/16,95.510002,95.860001,94.470001,94.900002,4577800,94.900002,none
11/25/16,95.959999,96.440002,95.209999,95.809998,2005700,95.809998,none
11/23/16,94.809998,96.419998,94.220001,96.18,6535900,96.18,none
11/22/16,93.400002,93.709999,92.800003,93.620003,3162300,93.620003,none
11/21/16,93.129997,93.849998,92.779999,92.900002,3742800,92.900002,none
11/18/16,93.010002,93.400002,91.900002,92.339996,4691400,92.339996,none
11/17/16,93.5,93.5,92.400002,92.779999,3904200,92.779999,none
11/16/16,93.769997,94.400002,92.839996,93.349998,3293500,93.349998,none
11/15/16,93.459999,94.459999,92.639999,94.440002,4642100,94.440002,none
11/14/16,93.25,95.5,93.019997,94.169998,7507100,94.169998,none
11/11/16,93.389999,94.339996,91.82,93.010002,7342300,93.010002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque sit amet lectus vel neque cursus tincidunt venenatis ultrices nulla. Praesent rutrum scelerisque pellentesque. Pellentesque nibh lorem."
11/10/16,92.040001,94.949997,91.839996,93.449997,14171300,93.449997,none
11/9/16,89.779999,93.199997,89.360001,91.199997,19239800,91.199997,none
11/8/16,83.769997,85,83.059998,84.68,3393300,84.68,none
11/7/16,83.739998,84.160004,82.970001,83.75,3679300,83.75,none
11/4/16,81.339996,82.900002,80.589996,82.309998,5735800,82.309998,none
11/3/16,81.639999,81.669998,80.68,81.269997,3859000,81.269997,none
11/2/16,82.150002,82.150002,80.330002,81.110001,5228600,81.110001,none
11/1/16,83.470001,83.650002,81.650002,82.239998,5139600,82.239998,none
10/31/16,84.190002,84.379997,83.410004,83.459999,4679400,83.459999,none
10/28/16,83.32,84.169998,83,83.879997,4974000,83.879997,none
10/27/16,84.279999,84.339996,82.709999,83.010002,5003200,83.010002,none
10/26/16,83.809998,84.389999,82.879997,84.129997,6582100,84.129997,none
10/25/16,85.860001,87.650002,83.879997,84.480003,11639200,84.480003,none
10/24/16,86.120003,87.129997,85.540001,85.989998,5096500,85.989998,none
10/21/16,85.730003,86.629997,85.360001,86.330002,3592500,86.330002,none
10/20/16,87.059998,87.269997,86.230003,86.629997,4576600,86.629997,none
10/19/16,87.309998,88.279999,86.860001,88,5943900,87.229998,none
10/18/16,88.110001,88.199997,86.769997,87.220001,3715700,86.456824,none
10/17/16,87.379997,87.720001,86.900002,87.290001,4479700,86.526212,none
10/14/16,87.830002,88.419998,87.559998,87.669998,3601000,86.902884,none
10/13/16,86.900002,87.07,86.260002,86.970001,5677000,86.209012,none
10/12/16,87.5,87.75,87.019997,87.580002,3950000,86.813675,none
10/11/16,89.099998,89.32,87.260002,87.470001,6471900,86.704637,none
10/10/16,89.099998,89.5,88.139999,88.220001,3785700,87.448074,none
10/7/16,89.519997,89.739998,87.940002,88.470001,3774200,87.695887,none
10/6/16,88.959999,89.660004,88.709999,89.290001,3786900,88.508711,none
10/5/16,88.120003,89.870003,88.040001,89.419998,5189500,88.637571,none
10/4/16,88.5,88.949997,87.18,87.510002,4743300,86.744288,none
10/3/16,88.230003,89.190002,88.169998,88.279999,4294600,87.507547,none
9/30/16,87.989998,88.980003,87.809998,88.769997,6379100,87.993257,none
9/29/16,86.279999,88.849998,86.279999,87.470001,10616400,86.704637,none
9/28/16,83.25,86.660004,83.139999,86.589996,9497100,85.832332,none
9/27/16,82.190002,82.879997,81.669998,82.879997,4295600,82.154795,none
9/26/16,82.199997,82.68,82.010002,82.370003,3340800,81.649263,none
9/23/16,83.510002,83.580002,82.389999,82.440002,3031500,81.718651,none
9/22/16,83.970001,84.449997,83.309998,83.5,3925200,82.769373,none
9/21/16,82.300003,83.489998,82.010002,83.470001,4264300,82.739637,none
9/20/16,82.459999,82.669998,81.660004,81.699997,2774600,80.98512,none
9/19/16,82.18,82.349998,81.349998,81.879997,4351200,81.163546,none
9/16/16,81.620003,82.080002,81.209999,82.050003,6715400,81.332064,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque sit amet lectus vel neque cursus tincidunt venenatis ultrices nulla. Praesent rutrum scelerisque pellentesque. Pellentesque nibh lorem."
9/15/16,80.830002,82.349998,80.739998,82.029999,3499400,81.312235,none
9/14/16,80.379997,81.620003,80.230003,81.019997,5324800,80.31107,none
9/13/16,81.099998,81.260002,79.93,80.230003,4740600,79.527989,none
9/12/16,80.269997,82.120003,80.099998,81.919998,4110800,81.203196,none
9/9/16,82.889999,83,80.760002,80.790001,5311600,80.083087,none
9/8/16,83.5,83.959999,83.080002,83.540001,3400500,82.809024,none
9/7/16,82.5,83.730003,82.410004,83.720001,3996700,82.987449,none
9/6/16,82.010002,82.230003,81.480003,82.080002,3071000,81.3618,none
9/2/16,82.190002,82.370003,81.470001,81.690002,2449400,80.975213,none
9/1/16,81.589996,82,80.57,81.449997,4102200,80.737308,none
8/31/16,82.059998,82.339996,81.610001,81.949997,4041700,81.232933,none
8/30/16,82.860001,83.150002,82.309998,82.480003,3468700,81.758302,none
8/29/16,82.510002,83.349998,82.410004,83.099998,2253600,82.372872,none
8/26/16,83.209999,83.900002,82.279999,82.660004,3596800,81.936727,none
8/25/16,83.07,83.169998,82.589996,82.839996,3082900,82.115145,none
8/24/16,83.410004,84.099998,82.970001,83.150002,2200600,82.422437,none
8/23/16,83.980003,84.68,83.949997,84.010002,3178400,83.274913,none
8/22/16,83.620003,83.779999,83,83.589996,2885000,82.858582,none
8/19/16,83.059998,84.379997,82.760002,83.839996,3823900,83.106395,none
8/18/16,83.410004,83.610001,82.510002,83.379997,5003100,82.65042,none
8/17/16,84.410004,84.730003,83.839996,84.410004,2983400,83.671414,none
8/16/16,84.209999,84.360001,83.639999,84.290001,3161800,83.552462,none
8/15/16,83,84.279999,82.959999,84.150002,4056000,83.413687,none
8/12/16,83.260002,83.779999,82.580002,83,4342800,82.273748,none
8/11/16,83,83.650002,82.989998,83.239998,2229300,82.511646,none
8/10/16,83.309998,83.309998,82.480003,82.650002,2290300,81.926812,none
8/9/16,83.519997,83.75,82.699997,82.830002,2314900,82.105238,none
8/8/16,83,83.790001,82.800003,83.440002,3544800,82.709901,none
8/5/16,82.220001,82.959999,82,82.559998,3286100,81.837596,none
8/4/16,81.82,82.540001,81.400002,81.769997,2407500,81.054507,none
8/3/16,81.150002,82.300003,80.93,82.029999,3101700,81.312235,none
8/2/16,82,82.190002,80.919998,81.239998,3909500,80.529146,none
8/1/16,82.760002,82.879997,81.529999,81.949997,3377100,81.232933,none
7/29/16,82.800003,83.139999,82.129997,82.760002,4274200,82.03585,none
7/28/16,83.699997,83.709999,82.449997,82.919998,5065600,82.194446,none
7/27/16,82.720001,84.290001,82.720001,84.099998,8460900,83.364122,none
7/26/16,79.040001,83,78.739998,82.75,11007600,82.025936,none
7/25/16,79.150002,79.190002,78.339996,78.690002,5798100,78.001463,none
7/22/16,79.779999,79.790001,78.860001,79.379997,4133800,78.685421,none
7/21/16,80.449997,81.379997,79.739998,80.010002,6472300,79.309913,none
7/20/16,79.449997,79.860001,78.93,79.690002,4185500,78.992713,none
7/19/16,79.339996,79.769997,79.150002,79.739998,3308400,79.042271,none
7/18/16,79.879997,79.889999,78.870003,79.82,4136700,79.121573,none
7/15/16,80.489998,80.800003,80.160004,80.699997,4642100,79.230609,none
7/14/16,80.5,81,79.970001,80.059998,5441700,78.602263,none
7/13/16,79.980003,80.330002,79.07,79.690002,5162500,78.239005,none
7/12/16,78.720001,79.940002,78.300003,79.800003,5545800,78.347002,none
7/11/16,78,78.540001,77.32,77.800003,4511300,76.383419,none
7/8/16,75.919998,77.43,75.779999,77.370003,5491500,75.961248,none
7/7/16,75.07,75.730003,74.379997,75.050003,3080900,73.683491,none
7/6/16,74.589996,74.870003,73.459999,74.830002,3740500,73.467495,none
7/5/16,75.660004,75.949997,73.699997,74.379997,4776300,73.025684,none
7/1/16,75.379997,76.989998,75.32,76.449997,4630100,75.057993,none
6/30/16,74.169998,75.849998,73.970001,75.809998,4695500,74.429647,none
6/29/16,73.25,74.400002,72.790001,74.230003,4015400,72.878421,none
6/28/16,72.239998,72.900002,71.510002,72.519997,4743700,71.199551,none
6/27/16,72.5,72.709999,70.529999,71.379997,7337400,70.080308,none
6/24/16,75.199997,75.610001,72.989998,73.029999,12179500,71.700267,none
6/23/16,77.660004,78.25,77.220001,78.220001,3600800,76.795769,none
6/22/16,76.889999,77.089996,76.18,76.43,3056800,75.038361,none
6/21/16,76.449997,76.900002,76.010002,76.489998,3292100,75.097266,none
6/20/16,76.910004,77.349998,76.389999,76.43,4090800,75.038361,none
6/17/16,75.349998,76.660004,75.239998,75.93,5442000,74.547465,none
6/16/16,74.410004,75.139999,73.349998,74.989998,4064800,73.624578,none
6/15/16,75.190002,75.949997,74.339996,75.07,3802000,73.703123,none
6/14/16,75.059998,75.550003,73.949997,74.860001,4058400,73.496948,none
6/13/16,75.699997,76.339996,75.230003,75.230003,4086700,73.860213,none
6/10/16,76.32,76.559998,75.379997,76.029999,4879500,74.645643,none
6/9/16,77.389999,77.5,76.639999,77.160004,3784600,75.755072,none
6/8/16,77.5,78.699997,77.260002,78.110001,5987800,76.687772,none
6/7/16,76.529999,77.279999,76.440002,76.809998,4235200,75.411439,none
6/6/16,75.360001,76.529999,75.110001,76.419998,4775100,75.028541,none
6/3/16,73.650002,75.139999,73.099998,75.040001,6580100,73.673671,none
6/2/16,72.599998,73.639999,72.279999,73.620003,4615300,72.279528,none
6/1/16,71.980003,72.489998,71.269997,72.269997,2699900,70.954103,none
5/31/16,72.029999,73.169998,71.949997,72.510002,4072600,71.189738,none
5/27/16,72.150002,72.199997,71.5,71.959999,2943900,70.649749,none
5/26/16,73.239998,73.589996,72.059998,72.080002,4146400,70.767567,none
5/25/16,71.629997,72.699997,71.260002,72.57,5035400,71.248643,none
5/24/16,70.779999,71.25,70.25,71.089996,3872400,69.795588,none
5/23/16,69.800003,70.949997,69.589996,70.400002,4002000,69.118156,none
5/20/16,70,70.779999,69.75,69.870003,5731600,68.597808,none
5/19/16,69.93,70.120003,69.040001,69.43,6137100,68.165817,none
5/18/16,70.620003,71.870003,70.080002,70.589996,5166000,69.304692,none
